panelist_id,idx,example
lena,0,"Skimmed the README. Useful framing, but I'd want a number on time-to-first-insight before I bring it to my team."
lena,1,"Bookmarked. The seed-CSV pattern is the right shape; the demo video is the wrong shape."
lena,2,"I keep seeing ""synthetic users"" pitched as a discovery tool when it's really a hypothesis-pruning tool. Be honest about that."
diego,0,"Reading the methodology section first. The claim isn't ""replace recruited panels"" — it's ""triage your hypotheses before you spend on a panel."" That's the honest pitch."
diego,1,"The schema is the interesting bit. The LLM is the boring bit. If the schema travels between studies, this has legs."
diego,2,"I'd test it on a study where I already have the panel data, then compare. Anything else is vibes."
aanya,0,"Schema-first. Determinism on. Reproducible runs. The README says all the right words; need to read the code to believe them."
aanya,1,"The eval angle is underplayed in the launch — this is actually a structured eval harness for ""will users care?"""
aanya,2,"Cloned the repo. Will run a mini study tomorrow against a synthetic panel I already have."
tom,0,"This is the BBC-panel pattern formalised. We've done this internally with much worse tooling for a decade."
tom,1,"The brief object is what makes it useful. Predictions tied to a launch slot, with rules — that's how strategy desks actually think."
tom,2,"Sent this to our methods lead. Quietly hopeful."
hannah,0,"Synthetic respondents are not respondents. The launch copy slips between simulation and measurement; that's the part to fix."
hannah,1,"Show me the validation against a held-out human panel. Until then, this is a hypothesis generator, not research."
hannah,2,"Useful to argue against. Will write the long post on Friday."
wei,0,"Public take: thoughtful seed schema. Private take: we're shipping the same primitive; the moat is the prompt + the report."
wei,1,"Their narrator stage is more grown-up than I expected. We need to revisit ours."
wei,2,"Won't engage publicly. Watching the GitHub issues page."
rachel,0,"oh this is hot — synthetic audience that shows up in a slide. dropping it in tomorrow's pitch deck."
rachel,1,"the BBC panel example is perfect for client decks. literally the pitch."
rachel,2,"slack thread to my team: ""we have to play with this this week"""
felipe,0,"Reading the methodology before commenting. The claims about ""prediction"" need to be unpacked carefully."
felipe,1,"There are two distinct objects here: a sampling tool and a generation tool. Conflating them is a category error the field keeps making."
felipe,2,"A measured thread is in order. Probably Tuesday after I've read the schema and run the seed."
karim,0,"Loving the Neo4j integration. Inspectable graphs are the difference between a toy and a tool."
karim,1,"The graph_id-per-study pattern is the right design — keeps studies isolated without forking the database."
karim,2,"Will try plugging our salience scorer in. If the runner accepts a custom scorer, this is mine."
jenny,0,"Considered. The product is strongest when grounded in a brief — that mirrors how commissioning briefs travel between strategy decks."
jenny,1,"Sent the launch link to two old colleagues at JTBC and SBS — curious whether either pilots it."
jenny,2,"The narrator section's tone is right for an exec deck. That alone determines whether tools like this get adopted."
